"ID_RG","exotic_ADJ","native_RG","exotic_RG","native_ADJ","riqueza_jardim","riqueza_adj","riqueza_invasive_ADJ","riqueza_invasive_RG","area_m2","IDHM_DIST","IDHM_R_DIST","BHM_m3","VHM_m3","VEG_PROP","LOW_COVER_ARB","MEDIUM_COVER_ARB","COVER_HERB_SHRUB","B_PROP","WATER_PROP","ROAD_DIST_m","ATL_FOREST_DIST_m","NEAR_ATL_FOREST_AREA_m2","PARK_DIST_m","APA_DIST_m","APA_AREA_m2","WT_DIST_m","WT_PER","WT_AREA_km2","manag_level_RG","garbage_RG","n_sample","manag_level_ADJ","garbage_ADJ","environ_type_ADJ","combined_simpson_inside","combined_simpson_outside","combined_shannon_inside","combined_shannon_outside","total_species_inside","total_species_outside","bray_abund","bray_cover","bray_combined","jaccard_exotic","jaccard_native","simpson_inside_native","simpson_outside_native","shannon_inside_native","shannon_outside_native","simpson_inside_exotic","simpson_outside_exotic","shannon_inside_exotic","shannon_outside_exotic"
"24",5,5,5,8,10,13,0,1,452.16,0.81201,0.83932,479134.6418,56110.69653,0.0668,0.00989,0.0517,0.00521,0.13093,0,202.99441,766.08641,6048.31,2647.52202,12802.32598,14677137.46,2485.9339,0.319684189,0.005997183,3,0,4,0,0,"sidewalk",0.57196,0.73712666,1.1158292,1.766932384,10,13,0.951219512195122,1,0.975609756097561,1,0.916666666666667,0.522222222222222,0.642650462962963,0.959079450330897,1.33013136506573,0.413842975206612,0.576,0.675832550475022,1.0657432321681
"25",7,2,2,10,4,17,2,1,50,0.81201,0.83932,297012.779,261981.3508,0.28463,0.03049,0.24077,0.01337,0.16027,0,125.21266,422.59932,12350.79,2280.30083,13543.90378,14677137.46,2435.78693,0.319684189,0.005997183,3,1,4,4,0,"sidewalk",0.267361111,0.80737792,0.460074676,1.902766995,4,17,1,0.811320754716981,0.905660377358491,0.875,1,0.0665873959571939,0.733333333333333,0.149994923610415,1.52070429331427,0,0.580441937726957,0,1.0476480401178
"26",5,8,8,3,16,8,2,1,25,0.81201,0.83932,395810.5445,232238.8953,0.18471,0,0.18175,0.00296,0.1665,0,10.90052,108.53532,12350.79,2334.76234,13474.6234,14677137.46,2964.31772,0.532059985,0.011626375,3,0,4,4,0,"sidewalk",0.720021737,0.615094601,1.868994957,1.278703722,16,8,0.982300884955752,1,0.991150442477876,0.916666666666667,1,0.794117647058823,0.28,1.79659674470261,0.407242868036596,0.421745152354571,0.522222222222222,0.92404277031207,0.959079450330897
"28",11,6,11,7,17,18,1,2,80,0.88897,0.94388,457582.5473,156748.9657,0.14352,0.00395,0.1362,0.00337,0.18596,0,125.6096,1251.91904,18362.45,1154.3588,14780.84825,14677137.46,2943.9571,30.9140731,1.150418332,3,1,5,1,1,"sidewalk",0.778658698,0.726283608,1.828532907,1.749918477,17,18,0.863636363636364,0.961685823754789,0.912661093695576,0.705882352941176,1,0.600475624256837,0.397959183673469,1.16721152937111,0.852303164367745,0.651794061972607,0.70149060461932,1.30524813435362,1.47056582920607
"29",12,1,5,8,6,20,1,0,143,0.88897,0.94388,1153138.361,207409.4985,0.15469,0.00805,0.14413,0.00251,0.32604,0,584.81559,1323.75822,18362.45,930.13786,13772.53621,14677137.46,3529.80243,30.9140731,1.150418332,3,0,6,3,0,"sidewalk",0.648760331,0.862494612,1.286201881,2.29215916,6,20,1,1,1,1,1,0,0.6875,0,1.51359261408243,0.606139438085328,0.770039698113443,1.12580033052148,1.72169668487986
"31",9,4,2,15,6,24,1,0,28,0.88897,0.94388,396211.8018,246313.7061,0.24993,0.00765,0.23187,0.01041,0.34099,0,347.6545,892.26675,38918.41,1470.48311,15536.52858,14677137.46,2627.7152,30.9140731,1.150418332,3,0,5,4,0,"sidewalk",0.597050656,0.700922508,1.124562912,1.703584879,6,24,0.985401459854015,0.924528301886792,0.954964880870403,1,0.882352941176471,0.33375,0.601741437733717,0.559524498536089,1.30061215429782,0.497041420118343,0.607061288879471,0.690185676018804,1.21151615531669
"32",4,4,6,7,10,11,0,0,115,0.8672,0.90675,625425.7576,132975.4959,0.268,0.19237,0.07497,0.00066,0.52628,0,389.36498,565.80414,17460.56,93.09785,8193.36326,14677137.46,3355.71108,0.802671203,0.018677182,3,0,5,4,0,"sidewalk",0.741493236,0.608037367,1.747221507,1.278846655,10,11,0.978494623655914,1,0.989247311827957,0.888888888888889,1,0.548099173553719,0.461879442307553,1.04351591749257,0.861625496371069,0.598613736609956,0.235171696149844,1.18570870679493,0.518700438574282
"33",11,5,11,4,16,15,1,1,83,0.79456,0.79255,479534.784,214446.3212,0.18255,0.02642,0.15389,0.00224,0.09738,0,296.477,1122.79208,15005.58,149.45198,2542.75966,14677137.46,1228.09407,0.401434052,0.005150998,2,1,5,1,0,"planting_bed",0.847965013,0.79533031,2.252163162,1.943923519,16,15,0.919191919191919,0.532846715328467,0.726019317260193,0.842105263157895,1,0.757396449704142,0.545454545454545,1.5068179451022,1.03356205420682,0.773429176326415,0.749775925607684,1.76155416006355,1.61990123631401
"34",12,7,13,8,20,20,1,1,86,0.79456,0.79255,353390.8779,107398.6447,0.09218,0.01088,0.0813,0,0.0271,0,96.01925,455.7431,3720.09,1396.17213,2839.80183,14677137.46,3298.28168,2.088722502,0.073989845,2,1,5,2,0,"sidewalk",0.846846766,0.746513056,2.162654644,1.982406641,20,20,0.736263736263736,0.903846153846154,0.820054945054945,0.80952380952381,1,0.795918367346939,0.61963064993368,1.74786809746676,1.28283304829927,0.777851713837873,0.643627025462963,1.66772179274731,1.52799906914403
"35",8,4,8,7,12,15,2,1,224,0.79456,0.79255,470717.5067,196946.2756,0.1404,0.00737,0.13179,0.00124,0.16198,0,7.21038,530.97272,5499.42,385.65888,1220.97907,14677137.46,736.71612,0.401434052,0.005150998,2,1,5,2,1,"square",0.711392176,0.774841301,1.487983338,1.792564473,12,15,0.945205479452055,1,0.972602739726027,0.933333333333333,1,0.3792,0.651428571428571,0.633084319840843,1.3795182106578,0.488457885893783,0.632360537190083,0.974890077187891,1.16705777531094
"37",13,8,7,2,15,15,3,1,126,0.79456,0.79255,452769.7243,109273.3832,0.12203,0.05647,0.06383,0.00173,0.05864,0,226.93406,157.1559,6619.16,1814.03882,3658.74997,14677137.46,4111.3494,2.088722502,0.073989845,3,0,5,3,0,"square",0.703659976,0.766193489,1.780508937,1.837334347,15,15,0.945355191256831,1,0.972677595628415,0.888888888888889,0.888888888888889,0.448510698463569,0.486111111111111,0.978190804729218,0.679193265991526,0.744329104190696,0.742153741000338,1.58522421476928,1.70750436813649
"44",7,5,8,7,13,14,2,1,50,0.77045,0.76905,285634.5154,442698.128,0.31732,0.00059,0.3134,0.00333,0.08678,0,284.61557,12.30592,26666.27,179.62504,17782.39624,14677137.46,1236.88312,1.009580349,0.046477549,2,0,5,1,0,"square",0.71399282,0.792810952,1.624884345,1.769160329,13,15,0.920792079207921,0.878980891719745,0.899886485463833,0.75,0.909090909090909,0.763888888888889,0.686631944444444,1.51710639706103,1.34873555754662,0.615324386816825,0.659128357225243,1.15703337973835,1.26007626745634
"45",3,3,4,5,7,8,1,0,190,0.86654,0.91795,587202.6577,110610.9655,0.09832,0.00074,0.08495,0.01263,0.03305,0,26.63587,180.19934,10090.83,335.53874,6907.48009,14677137.46,3387.65546,0.307057082,0.005656803,3,0,6,4,0,"sidewalk",0.559091316,0.615711308,1.021371094,1.176359687,7,9,0.964912280701754,0.807372175980975,0.886142228341365,1,0.666666666666667,0.0884353741496599,0.546722164412071,0.171545760362554,0.880487641432413,0.368512110726644,0.49563901744393,0.606202468500137,0.68877342992174
"50",6,7,7,9,14,15,1,1,15,0.86654,0.91795,443889.2185,268890.6596,0.22035,0.01101,0.20828,0.00106,0.16245,0,240.18988,508.15608,6279.38,1884.46659,6457.48474,14677137.46,4144.06947,0.581792048,0.007125794,2,0,4,3,0,"planting_bed",0.704263393,0.810934124,1.717458135,1.816187917,14,15,0.873015873015873,0.798387096774194,0.835701484895033,0.818181818181818,0.769230769230769,0.594603174603175,0.670673979382496,1.16277018800938,1.28146835366223,0.583338244419562,0.56171532596786,1.15202364300678,0.944844660530332
"51",9,0,5,2,5,11,0,2,41.85,0.79052,0.8028,463673.2553,176028.9246,0.25487,0.08139,0.17348,0,0.11946,0,8.82488,1689.26344,11208.29,103.89058,11755.24326,14677137.46,2033.57575,0.307057082,0.005656803,3,0,4,3,0,"sidewalk",0.545124717,0.746407776,0.857151151,1.684855563,5,11,1,1,1,1,1,0,0.375,0,0.562335144618808,0.545124716553288,0.68574839302112,0.857151151150371,1.42419277677164
"58",11,6,7,8,13,19,1,0,100,0.77241,0.78906,1022573.528,134629.9637,0.08549,0,0.08549,0,0.16522,0,163.75965,1326.48709,20768.88,773.86861,10696.32804,14677137.46,1664.44239,0.307057082,0.005656803,3,0,6,3,1,"square",0.707572437,0.846934249,1.69011333,2.21887935,13,19,0.901408450704225,1,0.950704225352113,0.8,0.923076923076923,0.603240740740741,0.648274665301209,1.16252353316154,1.20082241124625,0.599451303155007,0.794051627384961,1.19276211516897,1.97076993750431
"102",5,6,5,5,11,10,2,0,6.7,0.91938,0.98756,870655.3519,235595.7943,0.21388,0,0.21047,0.00341,0.37949,0,162.33414,864.43054,19904.47,1291.74461,12345.7097,14677137.46,1448.15957,0.802671203,0.018677182,3,0,4,3,1,"sidewalk",0.749651525,0.619510926,1.767979785,1.323922891,11,10,0.938931297709924,1,0.969465648854962,1,0.777777777777778,0.700680272108844,0.34016620498615,1.41605332148291,0.650108507438406,0.463100137174211,0.361111111111111,0.845386568946352,0.789277373461185
"121",8,1,3,3,4,11,2,0,112,0.79672,0.80862,428828.0609,80317.00015,0.07387,0.00107,0.06922,0.00358,0.11232,0,573.75891,408.11127,5799.31,397.16524,7357.39622,8655896.43,4586.48507,0.319684189,0.005997183,2,0,5,4,0,"sidewalk",0.177327313,0.720676149,0.300912246,1.641648533,4,11,0.823529411764706,0.955849889624724,0.889689650694715,0.777777777777778,1,0,0.666666666666667,0,1.09861228866811,0.203125,0.635374149659864,0.321718376784675,1.2654299344474
"124",7,7,7,4,14,11,2,1,130,0.83138,0.8377,373477.5119,344678.8464,0.25207,0.00729,0.24139,0.00339,0.13273,0,141.05893,656.48637,754192.96,1139.15723,7053.69237,14677137.46,3031.62608,0.581792048,0.007125794,2,1,5,1,0,"square",0.723754434,0.712470309,1.50487312,1.392192954,14,11,0.966666666666667,0.989795918367347,0.978231292517007,0.923076923076923,0.9,0.525444606413994,0.43598615916955,0.889498517980813,0.717033285725359,0.386985631883308,0.487616025986044,0.744308503063898,0.850000534811079
"125",6,4,1,2,5,8,0,1,35,0.83138,0.8377,438346.7861,87852.02104,0.0976,0.04915,0.04683,0.00162,0.09675,0,128.32279,1107.3235,21199.34,1451.58227,5561.99393,14677137.46,4528.97886,0.661902974,0.007800888,2,0,4,1,0,"sidewalk",0.577777778,0.483914736,1.063729079,0.934976127,5,8,0.9,1,0.95,1,0.8,0.722222222222222,0.5,1.32966134885476,0.693147180559945,0,0.399896518139761,0,0.701049628548164
